brand,category,product_name,model,variant,sku,mrp,image_path,source_url
Axor,Helmets,X-Cross Dual Visor Speedometer Helmet,X-Cross Dual Visor Speedometer Helmet,Standard,8189829939332,7406.00,images_processed\axor\183.webp,
Axor,Helmets,X-Cross Dual Visor Orbit Helmet,X-Cross Dual Visor Orbit Helmet,Standard,8189778362500,7406.00,images_processed\axor\227.webp,
Axor,Helmets,X-Cross Dual Visor Flagstaff Helmet,X-Cross Dual Visor Flagstaff Helmet,Standard,8189784981636,7406.00,images_processed\axor\201.webp,
Axor,Helmets,Apex Prism Helmet,Apex Prism Helmet,Standard,8181870526596,5498.00,images_processed\axor\192.webp,
Axor,Helmets,Hunter Spear Helmet,Hunter Spear Helmet,Standard,8178690982020,3905.00,images_processed\axor\RED_BLACK_3.webp,
Axor,Helmets,Jet Forged Carbon Helmet,Jet Forged Carbon Helmet,Standard,8174846214276,5210.00,images_processed\axor\ForgedCarbon_2_3ac33abd-b570-4de3-bfaa-f8085cca2bd2.webp,
Axor,Helmets,Hunter Turbo Helmet,Hunter Turbo Helmet,Standard,8165627134084,3905.00,images_processed\axor\WHITERED_3_ecb84f10-6ce4-460b-9120-11a74cb03305.webp,
Axor,Helmets,Hunter Solid Colors Helmet,Hunter Solid Colors Helmet,Standard,8164738990212,3905.00,images_processed\axor\Black_3_edbc848a-41f0-4fae-9b7e-8b41ff8a8fd3.webp,
Axor,Helmets,Hunter Cornet Helmet,Hunter Cornet Helmet,Standard,8165629886596,3905.00,images_processed\axor\DARKBLUEBLUE_3.webp,
Axor,Helmets,Saber X-Sport Helmet,Saber X-Sport Helmet,Standard,7301758582916,4220.00,images_processed\axor\BLACK_NEON_YELLOW_3.webp,
Axor,Helmets,Saber Single Colors Helmet,Saber Single Colors Helmet,Standard,7301130190980,4220.00,images_processed\axor\SaberBlack_3.webp,
Axor,Helmets,Saber Naruto Helmet,Saber Naruto Helmet,Standard,7301652742276,4670.00,images_processed\axor\BLACK_ORANGE_3_90a52c97-a617-4465-93d0-9f2e3bcf0552.webp,
